category,skills
Backend,"reactjs, reactjs, reactjs, player, reactjs, html5, nodejs, reactjs, html5, nodejs, spring"
Backend,"c, self, self"
Backend,"software engineer, c++, c/c++, c/c++, c#, ui"
Backend,"oracle, database, oracle"
Backend,"oracle, database, oracle pl/sql, unix, oracle, authorization"
Backend,"oracle, go"
Backend,c#
Backend,"software engineer, c#, c#, debugging software, software engineering"
Backend,"ibm websphere mq, skill, spring, restful api, apache tomcat, skill"
Backend,"php, software engineer, software engineer"
Backend,"oracle, oracle, oracle, oracle, oracle, database, oracle, oracle, oracle application server, oracle, oracle enterprise manager, oracle, oracle, oracle, database"
Backend,"tableau, tableau, tableau, tableau, oracle"
Backend,"oracle, oracle, oracle, oracle, oracle, oracle, oracle"
Backend,"spring, perl"
Backend,"player, c, predict"
Backend,"skill, oracle"
Backend,"qa, qa, qa, qa, player, c, player, c"
Backend,backend
Backend,c#
Backend,"oracle, oracle, skype, oracle, oracle, oracle, oracle, oracle, oracle, gmail, skype, linkedin"
Backend,"c#, c++, unix, git"
Backend,"c#, c#, c#, microsoft .net framework, microsoft sql server, microsoft sql server, microsoft visual studio, microsoft visual studio, c#, microsoft .net framework, microsoft sql server, microsoft sql server, microsoft visual studio, microsoft visual studio"
Backend,"c++, c++, c++, impact, c, c++"
Backend,"oracle, oracle, oracle, oracle, oracle, oracle, oracle"
Backend,"oracle pl/sql, oracle pl/sql, oracle, oracle, oracle database"
Backend,"c, database, skill, self"
Backend,"oracle, tivoli"
Backend,"skill, spring"
Backend,c
Backend,"oracle, oracle, oracle"
Backend,"virtual, virtual, virtual, virtual, virtual, r, c#, backend, reduce, google, c"
Backend,c#
Backend,"microsoft dynamics crm, microsoft dynamics crm, c#, microsoft dynamics crm, ui, c"
Backend,"oracle, oracle, oracle, xquery, xquery, oracle, skill, salesforce, oracle, player"
Backend,c#
Backend,"c#, self, player"
Backend,"player, c, c++, software engineer"
Backend,"qnx, qnx, c"
Backend,"ajax, c#, skill"
Backend,"bash, perl, software engineer, bash, perl, bash, perl, bash, perl, bash, perl, apache ant"
Backend,"oracle, oracle, oracle"
Backend,"perl, perl, perl, c, impact, c, perl, perl, c#, perl"
Backend,"c#, c#, spring, oracle, c#, c#, database, mongodb"
Backend,"c#, sqlite, c#, c#, sqlite"
Backend,"c#, c++, c#, c++, oracle"
Backend,"c#, self, player, c#"
Backend,"oracle java, fiserv"
Backend,"google, impact, go, c#, player"
Backend,"c++, c#"
Backend,"c, player"
Backend,"qa, oracle, oracle, programming languages, c#, authentication, netstat"
Backend,"software engineer, ruby, ruby, c++, c#"
Backend,"perl, perl, perl, mysql, j"
Backend,"database, backend, self, software engineering"
Backend,"database, qa, oracle"
Backend,"database, database, microsoft sql server"
Backend,"ui, oracle"
Backend,"oracle, oracle, subversion, player, oracle database, oracle, oracle"
Backend,"c, c#"
Backend,"ui, c#, bing"
Backend,"perl, perl, perl, database, back end, database"
Backend,c#
Backend,objective c
Backend,"oracle, oracle, oracle, skype, oracle"
Backend,"c, skill, git, skill, skill"
Backend,"c#, database, c#, c#, ajax, tableau"
Backend,"oracle, oracle, oracle, oracle"
Backend,"oracle, oracle, oracle"
Backend,"oracle, oracle, software engineering, database, oracle, mysql"
Backend,"c++, c++, c++, unix, c++, c, unix, self"
Backend,"c, c++"
Backend,"database, database, oracle, database"
Backend,"mongodb, mongodb"
Backend,"mysql, database, nosql, database, database, database, database, database, mysql, database, database, database, database, database, mysql, nagios, oracle, mysql, mysql, perl, mysql, mysql, oracle golden gate, database, oracle, mongodb"
Backend,"perl, rest api"
Backend,"software engineering, spring framework, spring, orm, mysql, git, subversion, mysql, oracle"
Backend,c
Backend,"c#, c#, spring, oracle, c#, c#, database, mongodb"
Backend,"unix, oracle"
Backend,"c/c++, c/c++, c, c++, programming languages, c++, unix"
Backend,"skill, oracle, oracle, oracle, oracle"
Backend,nosql
Backend,"oracle, oracle, oracle hyperion, oracle hyperion"
Backend,"ui, ui, ui, virtual, ui, c, c, ui, virtual"
Backend,"perl, perl, perl, database, back end, database, perl"
Backend,"php, linkedin"
Backend,node.js
Backend,"c#, c#, full stack, go"
Backend,"c#, c#, c#, ui, unix"
Backend,"software engineering, c#"
Backend,"rest api, git"
Backend,"software engineer, back end, impact, go, backend"
Backend,"database, oracle , microsoft sql server, database, skill, oracle"
Backend,c#
Backend,spring
Backend,"oracle database, unix shell"
Backend,"c++, skill, c++, unix"
Backend,"software engineering, mysql, tableau"
Backend,"c#, c#"
Backend,"impact, c"
Backend,"c++, c++, go, c++, c++, r"
Backend,"go, skype, c"
Backend,spring
Backend,"tableau, oracle"
Backend,oracle
Backend,"php, wordpress, php, wordpress, php, wordpress, php, wordpress, html5, css3, php, wordpress"
Backend,"microsoft sql server, oracle, mysql, self"
Backend,"virtual, virtual, virtual, c/c++, c#, computer graphics software, autodesk maya, graphics software"
Backend,"c, c, c, c#, c++, oracle, database, oracle, c"
Backend,"database, perl, self, database"
Backend,"oracle, oracle, oracle"
Backend,"spring, git"
Backend,"software engineering, selenium, qa, selenium, backend"
Backend,backend
Backend,"erp software, oracle e-business suite, oracle"
Backend,"software engineering, c#, backend"
Backend,"c#, c#"
Backend,"database, oracle"
Backend,"c#, software engineer, full stack, back end, full stack, self, oracle"
Backend,c
Backend,c
Backend,"oracle, oracle, oracle, linkedin"
Backend,ruby on rails
Backend,spring framework
Backend,"scala, oracle"
Backend,"oracle, player, salesforce"
Backend,"database, database, authentication, oracle"
Backend,"webfocus, webfocus, webfocus, oracle"
Backend,oracle
Backend,"spring, auto"
Backend,"spring, spring"
Backend,"oracle, oracle, oracle, oracle"
Backend,"c, go, c"
Backend,"database, database, self, c#"
Backend,c#
Backend,c
Backend,"database, c#, database, self, c#"
Backend,"impact, oracle, self, player"
Backend,"spring, database, oracle , unix"
Backend,"software engineer, google, oracle, full stack, qa, oracle"
Backend,"qa, qa, mysql, database, database, backend, mysql, restful api, qa, defect tracking software, database, mysql, microsoft office, self"
Backend,"php, drupal, php, drupal"
Backend,"skill, skill, skill, spring, spring, ajax, skill, skill, skill, skill, skill, skill, skill, skill, twitter"
Backend,"oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle, oracle"
Backend,"deltek vision, deltek vision, database, deltek vision, deltek vision, deltek vision, microsoft sql server, deltek vision, deltek vision, deltek vision, deltek vision, deltek vision, deltek vision, microsoft sql server, icims"
Backend,"impact, c#, nodejs, mongodb, ui"
Backend,spring
Backend,"oracle, oracle, c, oracle"
Backend,"c, c++"
Backend,"testng, selenium, mysql"
Backend,"c#, c#"
Backend,"impact, spring"
Backend,"c#, database, oracle, self"
Backend,"full stack, full stack developer, self, impact, oracle, oracle pl/sql, html5"
Backend,backend
Backend,"spring, oracle, mysql, confluence, self"
Backend,spring
Backend,"oracle, oracle, impact"
Backend,"virtual, virtual, virtual, computer graphics software, autodesk maya, c/c++, c#, graphics software"
Backend,"oracle, oracle"
Backend,"microsoft sql server, r, r"
Backend,"selenium, unix shell, oracle, player, microsoft word"
Backend,oracle
Backend,spring framework
Backend,"c#, c#"
Backend,"spring framework, spring boot, oracle, software engineering, spring, apache kafka"
Backend,"c, c++, c, c++, software engineering, c, c++, c#, unix, c"
Backend,"ajax, smart, spring, unix shell, ajax, smart, spring, unix shell"
Backend,"reduce, c#"
Backend,"scala, scala, scala, microservices architecture, scala, scala"
Backend,"oracle, qa, oracle, oracle, authorization"
Backend,backend
Backend,"c#, c#, html5, oracle, ado.net, authentication, authorization"
Backend,"oracle, unix"
Backend,"c++, software engineer, c++, impact, database, c++, software engineer"
Backend,spring
Backend,"r, skill, perl, php, c++, player"
Backend,"software engineer, back end, software engineer, player, player, self, scala, node.js"
Backend,"oracle, oracle"
Backend,"reduce, qa, oracle, self, self"
Backend,"oracle, oracle, oracle, skill, oracle, oracle, database"
Backend,"c#, c#, c#"
Backend,"c/c++, software engineering, c/c++, c/c++, qnx, smart"
Backend,"qa, microsoft team foundation server, c, c++, c#, ui"
Backend,"c#, c#"
Backend,"c#, microsoft sql server"
Backend,"oracle, oracle, oracle"
Backend,"c#, software engineer, c#, software engineer"
Backend,"go, unix, oracle"
Backend,c
Backend,"microsoft dynamics gp, database, c#"
Backend,c#
Backend,"qa, backend, dig, qa"
Backend,"perl, unix, self, skill"
Backend,"oracle, database, oracle, database, oracle, database, oracle, database, database, database, database, database, database, database"
Backend,"c, database, oracle, subversion, c#"
Backend,"software engineer, backend"
Backend,nosql
Backend,"c++, c#"
Backend,"software engineer, software engineer, c#, c#, c#, c#, database"
